iter	Accuracy	Logloss
244	0.8288754674	0.3746136997
245	0.8287316652	0.3744163437
246	0.8290192695	0.3742907335
247	0.8291630716	0.3742149222
248	0.8293068737	0.3741018234
249	0.8297382801	0.3739739612
250	0.8294506759	0.3737929851
251	0.8294506759	0.3737653465
252	0.8300258844	0.3734766952
253	0.830744895	0.3733147004
254	0.8308886972	0.3732428874
255	0.830744895	0.3730729123
256	0.8310324993	0.3727211078
257	0.8310324993	0.3725961461
258	0.8311763014	0.3724112167
259	0.8317515099	0.3722303136
260	0.8318953121	0.3721063999
261	0.8318953121	0.3720511052
262	0.8324705206	0.371753974
263	0.8324705206	0.3717284997
264	0.8324705206	0.3715396459
265	0.8323267184	0.3714198509
266	0.8326143227	0.3712989012
267	0.8324705206	0.3711356381
268	0.8321829163	0.3709987659
269	0.8318953121	0.3708648331
270	0.8320391142	0.3707363872
271	0.8321829163	0.3706466899
272	0.8321829163	0.370609381
273	0.8321829163	0.37051521
274	0.8324705206	0.3703892844
275	0.8324705206	0.3702903977
276	0.8321829163	0.370215845
277	0.8326143227	0.3700494151
278	0.8327581248	0.3698361562
279	0.8329019269	0.369703259
280	0.8329019269	0.3695859366
281	0.8329019269	0.3694282764
282	0.8331895312	0.3691050101
283	0.8331895312	0.3689027376
284	0.8331895312	0.3687706058
285	0.8333333333	0.3685158765
286	0.8330457291	0.3683420316
287	0.8334771355	0.3682346489
288	0.8331895312	0.3680279603
289	0.8333333333	0.3678784477
290	0.8336209376	0.367841613
291	0.8339085418	0.3676825108
292	0.8339085418	0.3674716471
293	0.8339085418	0.3672437123
294	0.8339085418	0.3671776562
295	0.8339085418	0.367060175
296	0.8336209376	0.3669368946
297	0.8334771355	0.3668508256
298	0.8331895312	0.3664824827
299	0.8333333333	0.3663931008
300	0.8334771355	0.366331598
301	0.8334771355	0.3662400791
302	0.8334771355	0.3660666255
303	0.8330457291	0.3658242465
304	0.8334771355	0.3656615757
305	0.8336209376	0.3655476847
306	0.8334771355	0.3653625997
307	0.8334771355	0.3652058186
308	0.8334771355	0.3650477346
309	0.8334771355	0.3648220016
310	0.8334771355	0.3647375913
311	0.8336209376	0.364568019
312	0.8337647397	0.3644911673
313	0.8339085418	0.3643067418
314	0.8339085418	0.3641898243
315	0.8339085418	0.3640163406
316	0.8339085418	0.3639013687
317	0.834052344	0.363785817
318	0.8339085418	0.3637017666
319	0.8343399482	0.3635020146
320	0.8343399482	0.363357874
321	0.8343399482	0.3631715279
322	0.8347713546	0.3629824218
323	0.8347713546	0.3628078593
324	0.8349151567	0.3627208058
325	0.835202761	0.3625782281
326	0.835202761	0.3624682554
327	0.835202761	0.3623607975
328	0.835202761	0.3621186716
329	0.835202761	0.3619833666
330	0.8353465631	0.3618645689
331	0.835202761	0.3614697431
332	0.8360655738	0.3611010275
333	0.8362093759	0.360977621
334	0.8362093759	0.3607837497
335	0.8366407823	0.3607386794
336	0.8367845844	0.3605995263
337	0.8375035951	0.3603190076
338	0.8376473972	0.36017924
339	0.8377911993	0.3600606481
340	0.8380788036	0.3600046991
341	0.8377911993	0.3596915803
342	0.8376473972	0.3594326121
343	0.8380788036	0.3592865552
344	0.8380788036	0.3591916198
345	0.8377911993	0.3590499191
346	0.8377911993	0.3589337329
347	0.8377911993	0.3587485579
348	0.8375035951	0.3586043621
349	0.8379350014	0.3584977152
350	0.8379350014	0.3583890489
351	0.8379350014	0.3582295087
352	0.83851021	0.3580043343
353	0.8386540121	0.3577432909
354	0.8386540121	0.3575033287
355	0.83851021	0.3573180523
356	0.8386540121	0.3571479331
357	0.83851021	0.357025101
358	0.83851021	0.356993441
359	0.8389416163	0.3567075751
360	0.8390854185	0.3565565436
361	0.8390854185	0.3563998131
362	0.8392292206	0.3562084352
363	0.8392292206	0.3559974024
364	0.8392292206	0.3558469432
365	0.839660627	0.3555251503
366	0.8392292206	0.3553626606
367	0.8390854185	0.3552189938
368	0.8390854185	0.3551256944
369	0.8390854185	0.3547258564
370	0.8389416163	0.3546632676
371	0.8392292206	0.3544360181
372	0.839660627	0.3543029061
373	0.8402358355	0.354170071
374	0.8400920334	0.3540059662
375	0.8399482312	0.3538418663
376	0.8398044291	0.3537159871
377	0.839660627	0.3536128833
378	0.8398044291	0.3535366294
379	0.8400920334	0.3533209502
380	0.8403796376	0.3531677185
381	0.8400920334	0.3529565891
382	0.8405234397	0.3527836203
383	0.8402358355	0.3524949755
384	0.8406672419	0.3523951292
385	0.8406672419	0.3521796526
386	0.840811044	0.3519361894
387	0.8409548461	0.3518709776
388	0.840811044	0.3518173803
389	0.8409548461	0.3515936826
390	0.8409548461	0.3513647762
391	0.8412424504	0.3510352684
392	0.8413862525	0.3508997332
393	0.8413862525	0.3507611834
394	0.8413862525	0.3506477128
395	0.841961461	0.350398622
396	0.8421052632	0.3502861604
397	0.8421052632	0.3501753626
398	0.8418176589	0.3500187403
399	0.8418176589	0.349822514
400	0.841961461	0.3497424083
401	0.8422490653	0.3495433348
402	0.8432556802	0.34947103
403	0.8426804717	0.3493247678
404	0.8428242738	0.3491750657
405	0.8426804717	0.3490381414
406	0.8426804717	0.3489668242
407	0.8429680759	0.3487036231
408	0.8435432844	0.3485454032
409	0.8433994823	0.3483423137
410	0.8433994823	0.3483031891
411	0.8433994823	0.3481614532
412	0.8432556802	0.3480491201
413	0.8433994823	0.3479733966
414	0.8435432844	0.3479029346
415	0.8433994823	0.3477074101
416	0.8435432844	0.3474052815
417	0.8431118781	0.3472346642
418	0.8431118781	0.3470572614
419	0.8435432844	0.3469665747
420	0.8436870866	0.3468298708
421	0.8438308887	0.3467811594
422	0.8435432844	0.3466171601
423	0.8436870866	0.3465541218
424	0.8436870866	0.3463638684
425	0.8439746908	0.3461298259
426	0.844118493	0.3460118328
427	0.844118493	0.3459825201
428	0.844118493	0.3458163537
429	0.844118493	0.3457270408
430	0.8439746908	0.3456439854
431	0.844118493	0.345371222
432	0.8446937015	0.3452897283
433	0.8444060972	0.3452369425
434	0.8444060972	0.3450868372
435	0.8449813057	0.3448129536
436	0.8449813057	0.3447720762
437	0.8449813057	0.344736275
438	0.8454127121	0.3443981968
439	0.8454127121	0.34427222
440	0.8459879206	0.3440132896
441	0.8461317227	0.3439349683
442	0.8454127121	0.3436391873
443	0.84526891	0.3434780414
444	0.84526891	0.3432078868
445	0.8451251079	0.3431211173
446	0.84526891	0.3430330257
447	0.8457003164	0.3428452539
448	0.8457003164	0.3426234756
449	0.8457003164	0.3424796095
450	0.8459879206	0.3423771963
451	0.8462755249	0.3422459289
452	0.8462755249	0.3421473034
453	0.8462755249	0.342088351
454	0.8461317227	0.3419683578
455	0.8465631291	0.3416600795
456	0.8469945355	0.3415429651
457	0.8468507334	0.3414648275
458	0.8468507334	0.3414009704
459	0.8469945355	0.34119303
460	0.8469945355	0.3411552499
461	0.8468507334	0.3411150186
462	0.8469945355	0.3410397202
463	0.8471383376	0.3410037209
464	0.8471383376	0.3409691744
465	0.8474259419	0.3408520971
466	0.847569744	0.3407923002
467	0.8477135462	0.34067043
468	0.8477135462	0.3404672116
469	0.8477135462	0.3404217872
470	0.8477135462	0.3403343273
471	0.8481449525	0.3400590454
472	0.8481449525	0.3399327935
473	0.8481449525	0.3398611709
474	0.8485763589	0.3397579625
475	0.8487201611	0.3395917592
476	0.8484325568	0.3395236603
477	0.8485763589	0.3394379349
478	0.8488639632	0.3393051012
479	0.8488639632	0.3390898807
480	0.8490077653	0.3389294442
481	0.8491515674	0.3387892136
482	0.8485763589	0.3384301252
483	0.8488639632	0.3383109544
484	0.8491515674	0.3380804225
485	0.8490077653	0.3380162329
486	0.8491515674	0.3379280087
487	0.8492953696	0.337808445
488	0.8492953696	0.3377742578
489	0.8494391717	0.3375305244
490	0.8492953696	0.3373579308
491	0.8491515674	0.3372284816
492	0.849726776	0.3369304552
493	0.849726776	0.3367396264
494	0.8501581823	0.3365953152
495	0.849726776	0.3363930029
496	0.8500143802	0.3362492983
497	0.8498705781	0.3361597448
498	0.8491515674	0.3358978046
499	0.8492953696	0.3358810984
500	0.8501581823	0.3357093529
501	0.8503019845	0.3355544803
502	0.8503019845	0.3354513556
503	0.8504457866	0.3354052182
504	0.8507333909	0.335167531
505	0.850877193	0.3350530307
506	0.850877193	0.3349836634
507	0.850877193	0.3348254771
508	0.8507333909	0.3347770071
509	0.8504457866	0.3345422119
510	0.8503019845	0.3343857123
511	0.850877193	0.3341460659
512	0.8507333909	0.334040876
513	0.8505895887	0.3339521765
514	0.850877193	0.3338992649
515	0.8507333909	0.3337863115
516	0.8513085994	0.3336695557
517	0.8514524015	0.3336502428
518	0.8515962036	0.3333234499
519	0.8514524015	0.3332427575
520	0.8515962036	0.3330875708
521	0.8515962036	0.3330355336
522	0.8515962036	0.3328902702
523	0.8515962036	0.3327806867
524	0.8518838079	0.3326924111
525	0.8518838079	0.3326581959
526	0.8518838079	0.3325900898
527	0.8518838079	0.3323334865
528	0.8517400058	0.3322423222
529	0.8517400058	0.3322192509
530	0.8517400058	0.3320855958
531	0.8521714121	0.3320137905
532	0.8523152143	0.3319337284
533	0.8523152143	0.3318051832
534	0.8523152143	0.3317390727
535	0.8526028185	0.3315646338
536	0.8527466206	0.331534981
537	0.8527466206	0.3314612953
538	0.8528904228	0.3314157179
539	0.8530342249	0.3311919365
540	0.8530342249	0.3310707431
